CNPJ,NOME INSTITUIÇÃO,SEGMENTO,ENDEREÇO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,UF,DDD,FONE,CART COMERCIAL,ENDEREÇO ELETRÔNICO,SÍTIO NA INTERNET
74.828.799,NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO                                                                                                                                                            ,Banco Múltiplo                                              ,"RUA URUGUAI, 155                                  ",CJ. 1308                                          ,CENTRO              ,90010-140,PORTO ALEGRE                                                ,RS,51,3220 40 00,Sim,DIRETORIA@NBCBANK.COM.BR                                    ,WWW.NBCBANK.COM.BR                                          
75.647.891,BANCO CRÉDIT AGRICOLE BRASIL S.A.                                                                                                                                                                       ,Banco Múltiplo                                              ,"ALAMEDA ITU, 852                                  ",12 ANDAR                                          ,JARDIM PAULISTA     ,01421-001,SAO PAULO                                                   ,SP,11,3896 63 00,Sim,OUVIDORIA@CA-CIB.COM                                        ,WWW.CA-CIB.COM.BR                                           
76.543.115,BANCO SISTEMA S.A.                                                                                                                                                                                      ,Banco Múltiplo                                              ,"RUA DA GLORIA, 251                                ","EDIFICIO NEO CORPORATE, 4O ANDAR, SALA 402        ",CENTRO CÍVICO       ,80010-000,CURITIBA                                                    ,PR,41,3525 38 12,Sim,OUVIDORIA@BANCOSISTEMA.COM.BR                               ,WWW.BTGPACTUAL.COM                                          
78.626.983,BANCO VR S.A.                                                                                                                                                                                           ,Banco Múltiplo                                              ,"ALAMEDA RIO NEGRO, 585                            ",BL. B - CONJS. 61 E 62 E BL. C - CONJS. 131 E 132 ,ALPHAVILLE          ,06454-000,BARUERI                                                     ,SP,11,4134 75 00,Sim,COMPLIANCE@VR.COM.BR                                        ,WWW.BANCOVR.COM.BR                                          
78.632.767,BANCO OURINVEST S.A.                                                                                                                                                                                    ,Banco Múltiplo                                              ,"AV. PAULISTA, 1728                                ","SOBRELOJA, 2º  E 11º ANDARES                      ",BELA VISTA          ,01310-919,SAO PAULO                                                   ,SP,11,4081 44 44,Sim,CONTROLADORIA@OURINVEST.COM.BR                              ,WWW.OURINVEST.COM.BR                                        
80.271.455,BANCO MAXINVEST S.A.                                                                                                                                                                                    ,Banco Múltiplo                                              ,"ROD BR-116, KM 399, N. 6490, TREVO RODOV.DO TARUMA",                                                  ,TARUMA              ,82590-300,CURITIBA                                                    ,PR,41,3360 71 00,Não,BANCOMAXINVEST@BANCOMAXINVEST.COM.BR                        ,WWW.BANCOMAXINVEST.COM.BR                                   
90.400.888,BANCO SANTANDER (BRASIL) S.A.                                                                                                                                                                           ,Banco Múltiplo                                              ,"AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK, 2041     ",E 2235 - BLOCO A                                  ,VILA OLIMPIA        ,04543-011,SAO PAULO                                                   ,SP,11,3553 55 33,Sim,CORGREGULADORES@SANTANDER.COM.BR                            ,WWW.SANTANDER.COM.BR                                        
90.731.688,BANCO FORD S.A.                                                                                                                                                                                         ,Banco Múltiplo                                              ,"AVENIDA JABAQUARA, 2229, 2237, 2239 E 2249        ",SALA 2                                            ,BAIRRO MIRANDÓPOLIS ,04045-003,SAO PAULO                                                   ,SP,11,4174 46 13,Não,MDENEGATI@FORD.COM                                          ,WWW.BANCOFORD.COM.BR                                        
91.884.981,BANCO JOHN DEERE S.A.                                                                                                                                                                                   ,Banco Múltiplo                                              ,RODOVIA ENGENHEIRO ERMENIO OLIVEIRA PENTEADO      ,"TORRE 1, KM 57,5 S/N                              ",HELVÉTIA            ,13337-300,INDAIATUBA                                                  ,SP,19,3825 93 00,Sim,BJDDACP@JOHNDEERE.COM                                       ,HTTPS://WWW.DEERE.COM.BR/PT/FINANCIAMENTO/BANCO-JOHN-DEERE/ 
92.702.067,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.                                                                                                                                                               ,Banco Múltiplo                                              ,"RUA CAPITAO MONTANHA, 177                         ",                                                  ,CENTRO              ,90018-900,PORTO ALEGRE                                                ,RS,51,3215 15 15,Sim,CONTROLADORIA ATENDIMENTO BACEN@BANRISUL.COM.BR             ,WWW.BANRISUL.COM.BR                                         
92.874.270,BANCO A.J. RENNER S.A.                                                                                                                                                                                  ,Banco Múltiplo                                              ,"AVENIDA CARLOS GOMES, 300, 13º ANDAR              ",                                                  ,BOA VISTA           ,90480-000,PORTO ALEGRE                                                ,RS,51,3287 33 00,Sim,RENNER@BANCORENNER.COM.BR                                   ,WWW.BANCORENNER.COM.BR                                      
92.894.922,BANCO ORIGINAL S.A.                                                                                                                                                                                     ,Banco Múltiplo                                              ,"RUA GENERAL FURTADO DO NASCIMENTO, 66             ",                                                  ,ALTO DE PINHEIROS   ,05465-070,SAO PAULO                                                   ,SP,800,744 07 44,Sim,CONTATOBACEN@ORIGINAL.COM.BR                                ,WWW.ORIGINAL.COM.BR                                         
